date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
29/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,37.38639091,61.71183182,0
30/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
31/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
01/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
02/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
03/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
04/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
05/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
06/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
07/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
08/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
09/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
10/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
11/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
12/11/2022,170,400,0.85,1.169353581,2.494034831,3.75,0.395368703,1.30779894,0.537444339,0.33879016,35.89093527,59.24335855,0
